,date,title,artist,weeks,uri,af
9,1953-03-07,I BELIEVE,FRANKIE LAINE,6,spotify:track:049uxirFkHOefJ0yqPW8Kk,"{'danceability': 0.402, 'energy': 0.159, 'key': 1, 'loudness': -18.598, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.977, 'instrumentalness': 1.76e-05, 'liveness': 0.155, 'valence': 0.282, 'tempo': 67.796, 'type': 'audio_features', 'id': '049uxirFkHOefJ0yqPW8Kk', 'uri': 'spotify:track:049uxirFkHOefJ0yqPW8Kk', 'track_href': 'https://api.spotify.com/v1/tracks/049uxirFkHOefJ0yqPW8Kk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/049uxirFkHOefJ0yqPW8Kk', 'duration_ms': 130893, 'time_signature': 4}"
10,1953-08-14,THE SONG FROM MOULIN ROUGE,MANTOVANI,1,spotify:track:454rWL2L3wULXi5TFszrEX,"{'danceability': 0.194, 'energy': 0.367, 'key': 7, 'loudness': -12.261, 'mode': 1, 'speechiness': 0.0413, 'acousticness': 0.908, 'instrumentalness': 0.905, 'liveness': 0.339, 'valence': 0.114, 'tempo': 75.709, 'type': 'audio_features', 'id': '454rWL2L3wULXi5TFszrEX', 'uri': 'spotify:track:454rWL2L3wULXi5TFszrEX', 'track_href': 'https://api.spotify.com/v1/tracks/454rWL2L3wULXi5TFszrEX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/454rWL2L3wULXi5TFszrEX', 'duration_ms': 150156, 'time_signature': 3}"
11,1953-08-21,I BELIEVE,FRANKIE LAINE,3,spotify:track:049uxirFkHOefJ0yqPW8Kk,"{'danceability': 0.402, 'energy': 0.159, 'key': 1, 'loudness': -18.598, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.977, 'instrumentalness': 1.76e-05, 'liveness': 0.155, 'valence': 0.282, 'tempo': 67.796, 'type': 'audio_features', 'id': '049uxirFkHOefJ0yqPW8Kk', 'uri': 'spotify:track:049uxirFkHOefJ0yqPW8Kk', 'track_href': 'https://api.spotify.com/v1/tracks/049uxirFkHOefJ0yqPW8Kk', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/049uxirFkHOefJ0yqPW8Kk', 'duration_ms': 130893, 'time_signature': 4}"
12,1953-11-09,LOOK AT THAT GIRL,GUY MITCHELL,6,spotify:track:3Dnfvd4VGayvFaAMe1YTzE,"{'danceability': 0.745, 'energy': 0.376, 'key': 5, 'loudness': -11.118, 'mode': 0, 'speechiness': 0.0472, 'acousticness': 0.893, 'instrumentalness': 0, 'liveness': 0.101, 'valence': 0.808, 'tempo': 123.576, 'type': 'audio_features', 'id': '3Dnfvd4VGayvFaAMe1YTzE', 'uri': 'spotify:track:3Dnfvd4VGayvFaAMe1YTzE', 'track_href': 'https://api.spotify.com/v1/tracks/3Dnfvd4VGayvFaAMe1YTzE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Dnfvd4VGayvFaAMe1YTzE', 'duration_ms': 173706, 'time_signature': 4}"
13,1953-10-23,HEY JOE,FRANKIE LAINE,2,spotify:track:6Yn8OhWPCfRjdsr1vbzz0v,"{'danceability': 0.716, 'energy': 0.638, 'key': 3, 'loudness': -10.377, 'mode': 1, 'speechiness': 0.0703, 'acousticness': 0.725, 'instrumentalness': 0, 'liveness': 0.69, 'valence': 0.748, 'tempo': 121.59, 'type': 'audio_features', 'id': '6Yn8OhWPCfRjdsr1vbzz0v', 'uri': 'spotify:track:6Yn8OhWPCfRjdsr1vbzz0v', 'track_href': 'https://api.spotify.com/v1/tracks/6Yn8OhWPCfRjdsr1vbzz0v', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6Yn8OhWPCfRjdsr1vbzz0v', 'duration_ms': 140933, 'time_signature': 4}"
14,1953-06-11,ANSWER ME,DAVID WHITFIELD,1,spotify:track:56RLSrNQwDnEiUXGyHuIKG,"{'danceability': 0.328, 'energy': 0.299, 'key': 4, 'loudness': -14.151, 'mode': 1, 'speechiness': 0.0347, 'acousticness': 0.93, 'instrumentalness': 0.0167, 'liveness': 0.344, 'valence': 0.425, 'tempo': 132.351, 'type': 'audio_features', 'id': '56RLSrNQwDnEiUXGyHuIKG', 'uri': 'spotify:track:56RLSrNQwDnEiUXGyHuIKG', 'track_href': 'https://api.spotify.com/v1/tracks/56RLSrNQwDnEiUXGyHuIKG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/56RLSrNQwDnEiUXGyHuIKG', 'duration_ms': 154500, 'time_signature': 4}"
15,1953-11-13,ANSWER ME,FRANKIE LAINE,8,spotify:track:0ivpgNJfh4RFZkiH0U0qEm,"{'danceability': 0.472, 'energy': 0.167, 'key': 3, 'loudness': -17.558, 'mode': 1, 'speechiness': 0.0307, 'acousticness': 0.963, 'instrumentalness': 2.32e-06, 'liveness': 0.203, 'valence': 0.353, 'tempo': 67.998, 'type': 'audio_features', 'id': '0ivpgNJfh4RFZkiH0U0qEm', 'uri': 'spotify:track:0ivpgNJfh4RFZkiH0U0qEm', 'track_href': 'https://api.spotify.com/v1/tracks/0ivpgNJfh4RFZkiH0U0qEm', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0ivpgNJfh4RFZkiH0U0qEm', 'duration_ms': 157267, 'time_signature': 4}"
16,1953-11-12,ANSWER ME,DAVID WHITFIELD,1,spotify:track:56RLSrNQwDnEiUXGyHuIKG,"{'danceability': 0.328, 'energy': 0.299, 'key': 4, 'loudness': -14.151, 'mode': 1, 'speechiness': 0.0347, 'acousticness': 0.93, 'instrumentalness': 0.0167, 'liveness': 0.344, 'valence': 0.425, 'tempo': 132.351, 'type': 'audio_features', 'id': '56RLSrNQwDnEiUXGyHuIKG', 'uri': 'spotify:track:56RLSrNQwDnEiUXGyHuIKG', 'track_href': 'https://api.spotify.com/v1/tracks/56RLSrNQwDnEiUXGyHuIKG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/56RLSrNQwDnEiUXGyHuIKG', 'duration_ms': 154500, 'time_signature': 4}"
0,1954-08-01,OH MEIN PAPA,EDDIE CALVERT,9,spotify:track:1qLdhW13Hy6eJ8Q0KxIqdq,"{'danceability': 0.321, 'energy': 0.405, 'key': 10, 'loudness': -9.732, 'mode': 1, 'speechiness': 0.0318, 'acousticness': 0.918, 'instrumentalness': 0.946, 'liveness': 0.171, 'valence': 0.258, 'tempo': 109.826, 'type': 'audio_features', 'id': '1qLdhW13Hy6eJ8Q0KxIqdq', 'uri': 'spotify:track:1qLdhW13Hy6eJ8Q0KxIqdq', 'track_href': 'https://api.spotify.com/v1/tracks/1qLdhW13Hy6eJ8Q0KxIqdq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1qLdhW13Hy6eJ8Q0KxIqdq', 'duration_ms': 166827, 'time_signature': 4}"
1,1954-12-03,I SEE THE MOON,STARGAZERS,5,,{}
