,date,title,artist,weeks,uri,af
15,1966-09-15,ALL OR NOTHING,SMALL FACES,1,spotify:track:4P9qbRFA26qtfZNLCwizwH,"{'danceability': 0.613, 'energy': 0.555, 'key': 9, 'loudness': -9.801, 'mode': 1, 'speechiness': 0.072, 'acousticness': 0.58, 'instrumentalness': 1.64e-06, 'liveness': 0.119, 'valence': 0.556, 'tempo': 127.267, 'type': 'audio_features', 'id': '4P9qbRFA26qtfZNLCwizwH', 'uri': 'spotify:track:4P9qbRFA26qtfZNLCwizwH', 'track_href': 'https://api.spotify.com/v1/tracks/4P9qbRFA26qtfZNLCwizwH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4P9qbRFA26qtfZNLCwizwH', 'duration_ms': 166680, 'time_signature': 4}"
16,1966-09-22,DISTANT DRUMS,JIM REEVES,5,spotify:track:78JlD9PKDckLNq0ouu0DZM,"{'danceability': 0.511, 'energy': 0.194, 'key': 2, 'loudness': -17.579, 'mode': 1, 'speechiness': 0.0259, 'acousticness': 0.538, 'instrumentalness': 0.00092, 'liveness': 0.0971, 'valence': 0.346, 'tempo': 96.254, 'type': 'audio_features', 'id': '78JlD9PKDckLNq0ouu0DZM', 'uri': 'spotify:track:78JlD9PKDckLNq0ouu0DZM', 'track_href': 'https://api.spotify.com/v1/tracks/78JlD9PKDckLNq0ouu0DZM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/78JlD9PKDckLNq0ouu0DZM', 'duration_ms': 170133, 'time_signature': 4}"
17,1966-10-27,REACH OUT I'LL BE THERE,FOUR TOPS,3,spotify:track:11npGmmHAsN9i11Vcnwtko,"{'danceability': 0.618, 'energy': 0.626, 'key': 3, 'loudness': -8.294, 'mode': 0, 'speechiness': 0.0281, 'acousticness': 0.0257, 'instrumentalness': 0, 'liveness': 0.173, 'valence': 0.703, 'tempo': 119.677, 'type': 'audio_features', 'id': '11npGmmHAsN9i11Vcnwtko', 'uri': 'spotify:track:11npGmmHAsN9i11Vcnwtko', 'track_href': 'https://api.spotify.com/v1/tracks/11npGmmHAsN9i11Vcnwtko', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/11npGmmHAsN9i11Vcnwtko', 'duration_ms': 180067, 'time_signature': 4}"
18,1966-11-17,GOOD VIBRATIONS,BEACH BOYS,2,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,"{'danceability': 0.396, 'energy': 0.473, 'key': 10, 'loudness': -7.67, 'mode': 0, 'speechiness': 0.0345, 'acousticness': 0.326, 'instrumentalness': 0.000124, 'liveness': 0.109, 'valence': 0.385, 'tempo': 133.449, 'type': 'audio_features', 'id': '5t9KYe0Fhd5cW6UYT4qP8f', 'uri': 'spotify:track:5t9KYe0Fhd5cW6UYT4qP8f', 'track_href': 'https://api.spotify.com/v1/tracks/5t9KYe0Fhd5cW6UYT4qP8f', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5t9KYe0Fhd5cW6UYT4qP8f', 'duration_ms': 219027, 'time_signature': 4}"
19,1966-01-12,GREEN GREEN GRASS OF HOME,TOM JONES,7,spotify:track:5BFWQXNGPYadZxNKxY1UfU,"{'danceability': 0.543, 'energy': 0.41, 'key': 8, 'loudness': -13.253, 'mode': 1, 'speechiness': 0.0268, 'acousticness': 0.157, 'instrumentalness': 0, 'liveness': 0.0996, 'valence': 0.817, 'tempo': 95.363, 'type': 'audio_features', 'id': '5BFWQXNGPYadZxNKxY1UfU', 'uri': 'spotify:track:5BFWQXNGPYadZxNKxY1UfU', 'track_href': 'https://api.spotify.com/v1/tracks/5BFWQXNGPYadZxNKxY1UfU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5BFWQXNGPYadZxNKxY1UfU', 'duration_ms': 184893, 'time_signature': 4}"
0,1967-01-19,I'M A BELIEVER,MONKEES,4,spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2,"{'danceability': 0.526, 'energy': 0.775, 'key': 0, 'loudness': -6.05, 'mode': 1, 'speechiness': 0.0352, 'acousticness': 0.707, 'instrumentalness': 2.05e-05, 'liveness': 0.217, 'valence': 0.962, 'tempo': 80.106, 'type': 'audio_features', 'id': '3G7tRC24Uh09Hmp1KZ7LQ2', 'uri': 'spotify:track:3G7tRC24Uh09Hmp1KZ7LQ2', 'track_href': 'https://api.spotify.com/v1/tracks/3G7tRC24Uh09Hmp1KZ7LQ2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3G7tRC24Uh09Hmp1KZ7LQ2', 'duration_ms': 167373, 'time_signature': 4}"
1,1967-02-16,THIS IS MY SONG,PETULA CLARK,2,spotify:track:19bB1aXA6XcATDhWwQFoWN,"{'danceability': 0.304, 'energy': 0.4, 'key': 5, 'loudness': -8.063, 'mode': 1, 'speechiness': 0.0285, 'acousticness': 0.647, 'instrumentalness': 0, 'liveness': 0.203, 'valence': 0.396, 'tempo': 98.22, 'type': 'audio_features', 'id': '19bB1aXA6XcATDhWwQFoWN', 'uri': 'spotify:track:19bB1aXA6XcATDhWwQFoWN', 'track_href': 'https://api.spotify.com/v1/tracks/19bB1aXA6XcATDhWwQFoWN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/19bB1aXA6XcATDhWwQFoWN', 'duration_ms': 195640, 'time_signature': 4}"
2,1967-02-03,RELEASE ME,ENGELBERT HUMPERDINCK,6,spotify:track:0Si6MQzSdOyfWTy0LP5ojD,"{'danceability': 0.162, 'energy': 0.301, 'key': 5, 'loudness': -11.007, 'mode': 1, 'speechiness': 0.0307, 'acousticness': 0.848, 'instrumentalness': 1.43e-05, 'liveness': 0.101, 'valence': 0.298, 'tempo': 84.413, 'type': 'audio_features', 'id': '0Si6MQzSdOyfWTy0LP5ojD', 'uri': 'spotify:track:0Si6MQzSdOyfWTy0LP5ojD', 'track_href': 'https://api.spotify.com/v1/tracks/0Si6MQzSdOyfWTy0LP5ojD', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0Si6MQzSdOyfWTy0LP5ojD', 'duration_ms': 204413, 'time_signature': 4}"
3,1967-04-13,SOMETHIN' STUPID,NANCY SINATRA & FRANK SINATRA,2,spotify:track:6a1VBGBizYx9mQl9eqyamP,"{'danceability': 0.645, 'energy': 0.529, 'key': 4, 'loudness': -11.761, 'mode': 1, 'speechiness': 0.0282, 'acousticness': 0.0108, 'instrumentalness': 0.767, 'liveness': 0.207, 'valence': 0.758, 'tempo': 103.815, 'type': 'audio_features', 'id': '6a1VBGBizYx9mQl9eqyamP', 'uri': 'spotify:track:6a1VBGBizYx9mQl9eqyamP', 'track_href': 'https://api.spotify.com/v1/tracks/6a1VBGBizYx9mQl9eqyamP', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6a1VBGBizYx9mQl9eqyamP', 'duration_ms': 164849, 'time_signature': 4}"
4,1967-04-27,PUPPET ON A STRING,SANDIE SHAW,3,spotify:track:5vCQNH4kip96qv5W13i66m,"{'danceability': 0.908, 'energy': 0.146, 'key': 0, 'loudness': -16.793, 'mode': 1, 'speechiness': 0.256, 'acousticness': 0.589, 'instrumentalness': 0.0119, 'liveness': 0.0524, 'valence': 0.963, 'tempo': 124.079, 'type': 'audio_features', 'id': '5vCQNH4kip96qv5W13i66m', 'uri': 'spotify:track:5vCQNH4kip96qv5W13i66m', 'track_href': 'https://api.spotify.com/v1/tracks/5vCQNH4kip96qv5W13i66m', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5vCQNH4kip96qv5W13i66m', 'duration_ms': 143347, 'time_signature': 4}"
5,1967-05-18,SILENCE IS GOLDEN,TREMELOES,3,spotify:track:5qGDUoTYnHTlXh7FQotg6J,"{'danceability': 0.495, 'energy': 0.765, 'key': 2, 'loudness': -5.769, 'mode': 1, 'speechiness': 0.0292, 'acousticness': 0.00217, 'instrumentalness': 7.43e-05, 'liveness': 0.576, 'valence': 0.619, 'tempo': 135.911, 'type': 'audio_features', 'id': '5qGDUoTYnHTlXh7FQotg6J', 'uri': 'spotify:track:5qGDUoTYnHTlXh7FQotg6J', 'track_href': 'https://api.spotify.com/v1/tracks/5qGDUoTYnHTlXh7FQotg6J', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5qGDUoTYnHTlXh7FQotg6J', 'duration_ms': 188933, 'time_signature': 4}"
6,1967-08-06,A WHITER SHADE OF PALE,PROCOL HARUM,6,spotify:track:1cmjxqobVTrgAiJ0btAleN,"{'danceability': 0.249, 'energy': 0.66, 'key': 0, 'loudness': -6.905, 'mode': 1, 'speechiness': 0.0342, 'acousticness': 0.504, 'instrumentalness': 0.0026, 'liveness': 0.0891, 'valence': 0.435, 'tempo': 149.813, 'type': 'audio_features', 'id': '1cmjxqobVTrgAiJ0btAleN', 'uri': 'spotify:track:1cmjxqobVTrgAiJ0btAleN', 'track_href': 'https://api.spotify.com/v1/tracks/1cmjxqobVTrgAiJ0btAleN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1cmjxqobVTrgAiJ0btAleN', 'duration_ms': 248947, 'time_signature': 4}"
7,1967-07-19,ALL YOU NEED IS LOVE,BEATLES,3,spotify:track:68BTFws92cRztMS1oQ7Ewj,"{'danceability': 0.4, 'energy': 0.48, 'key': 7, 'loudness': -7.768, 'mode': 1, 'speechiness': 0.0295, 'acousticness': 0.346, 'instrumentalness': 3.1e-05, 'liveness': 0.155, 'valence': 0.653, 'tempo': 103.436, 'type': 'audio_features', 'id': '68BTFws92cRztMS1oQ7Ewj', 'uri': 'spotify:track:68BTFws92cRztMS1oQ7Ewj', 'track_href': 'https://api.spotify.com/v1/tracks/68BTFws92cRztMS1oQ7Ewj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/68BTFws92cRztMS1oQ7Ewj', 'duration_ms': 230387, 'time_signature': 4}"
8,1967-09-08,SAN FRANCISCO (BE SURE TO WEAR SOME FLOWERS IN YOUR HAIR),SCOTT MCKENZIE,4,spotify:track:77qBwefBIdzymXNCuAI8YX,"{'danceability': 0.495, 'energy': 0.67, 'key': 7, 'loudness': -5.918, 'mode': 1, 'speechiness': 0.0284, 'acousticness': 0.047, 'instrumentalness': 2.52e-05, 'liveness': 0.219, 'valence': 0.478, 'tempo': 112.443, 'type': 'audio_features', 'id': '77qBwefBIdzymXNCuAI8YX', 'uri': 'spotify:track:77qBwefBIdzymXNCuAI8YX', 'track_href': 'https://api.spotify.com/v1/tracks/77qBwefBIdzymXNCuAI8YX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/77qBwefBIdzymXNCuAI8YX', 'duration_ms': 178933, 'time_signature': 4}"
9,1967-06-09,THE LAST WALTZ,ENGELBERT HUMPERDINCK,5,spotify:track:03OArDwBMEgtTDcty84Rcp,"{'danceability': 0.396, 'energy': 0.444, 'key': 2, 'loudness': -11.303, 'mode': 1, 'speechiness': 0.0302, 'acousticness': 0.696, 'instrumentalness': 1.23e-06, 'liveness': 0.201, 'valence': 0.4, 'tempo': 108.189, 'type': 'audio_features', 'id': '03OArDwBMEgtTDcty84Rcp', 'uri': 'spotify:track:03OArDwBMEgtTDcty84Rcp', 'track_href': 'https://api.spotify.com/v1/tracks/03OArDwBMEgtTDcty84Rcp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/03OArDwBMEgtTDcty84Rcp', 'duration_ms': 184187, 'time_signature': 3}"
10,1967-11-10,MASSACHUSETTS,BEE GEES,4,spotify:track:3o7k5Mcdi0PFAXICTqjxra,"{'danceability': 0.488, 'energy': 0.581, 'key': 7, 'loudness': -8.01, 'mode': 1, 'speechiness': 0.0291, 'acousticness': 0.00242, 'instrumentalness': 0.000216, 'liveness': 0.0664, 'valence': 0.445, 'tempo': 102.103, 'type': 'audio_features', 'id': '3o7k5Mcdi0PFAXICTqjxra', 'uri': 'spotify:track:3o7k5Mcdi0PFAXICTqjxra', 'track_href': 'https://api.spotify.com/v1/tracks/3o7k5Mcdi0PFAXICTqjxra', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3o7k5Mcdi0PFAXICTqjxra', 'duration_ms': 146907, 'time_signature': 4}"
11,1967-08-11,BABY NOW THAT I'VE FOUND YOU,FOUNDATIONS,2,spotify:track:6aPnjn4DISFe7Dou4NZOuK,"{'danceability': 0.64, 'energy': 0.664, 'key': 0, 'loudness': -4.73, 'mode': 1, 'speechiness': 0.0289, 'acousticness': 0.196, 'instrumentalness': 0, 'liveness': 0.31, 'valence': 0.879, 'tempo': 134.002, 'type': 'audio_features', 'id': '6aPnjn4DISFe7Dou4NZOuK', 'uri': 'spotify:track:6aPnjn4DISFe7Dou4NZOuK', 'track_href': 'https://api.spotify.com/v1/tracks/6aPnjn4DISFe7Dou4NZOuK', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6aPnjn4DISFe7Dou4NZOuK', 'duration_ms': 180133, 'time_signature': 4}"
12,1967-11-22,LET THE HEARTACHES BEGIN,LONG JOHN BALDRY,2,spotify:track:6qjz4HMcUErYWUz6TnRi3W,"{'danceability': 0.458, 'energy': 0.724, 'key': 9, 'loudness': -8.547, 'mode': 1, 'speechiness': 0.0297, 'acousticness': 0.0674, 'instrumentalness': 2.08e-06, 'liveness': 0.323, 'valence': 0.505, 'tempo': 90.508, 'type': 'audio_features', 'id': '6qjz4HMcUErYWUz6TnRi3W', 'uri': 'spotify:track:6qjz4HMcUErYWUz6TnRi3W', 'track_href': 'https://api.spotify.com/v1/tracks/6qjz4HMcUErYWUz6TnRi3W', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6qjz4HMcUErYWUz6TnRi3W', 'duration_ms': 192853, 'time_signature': 4}"
13,1967-06-12,HELLO GOODBYE,BEATLES,7,spotify:track:0vZ97gHhemKm6c64hTfJNA,"{'danceability': 0.479, 'energy': 0.733, 'key': 0, 'loudness': -8.753, 'mode': 1, 'speechiness': 0.0256, 'acousticness': 0.306, 'instrumentalness': 2.4e-05, 'liveness': 0.414, 'valence': 0.806, 'tempo': 99.307, 'type': 'audio_features', 'id': '0vZ97gHhemKm6c64hTfJNA', 'uri': 'spotify:track:0vZ97gHhemKm6c64hTfJNA', 'track_href': 'https://api.spotify.com/v1/tracks/0vZ97gHhemKm6c64hTfJNA', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0vZ97gHhemKm6c64hTfJNA', 'duration_ms': 208840, 'time_signature': 4}"
0,1968-01-24,THE BALLAD OF BONNIE AND CLYDE,GEORGIE FAME,1,spotify:track:1C2K7ouw8OYXVThAnSXID9,"{'danceability': 0.706, 'energy': 0.467, 'key': 7, 'loudness': -9.523, 'mode': 1, 'speechiness': 0.0852, 'acousticness': 0.713, 'instrumentalness': 0, 'liveness': 0.253, 'valence': 0.735, 'tempo': 107.053, 'type': 'audio_features', 'id': '1C2K7ouw8OYXVThAnSXID9', 'uri': 'spotify:track:1C2K7ouw8OYXVThAnSXID9', 'track_href': 'https://api.spotify.com/v1/tracks/1C2K7ouw8OYXVThAnSXID9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1C2K7ouw8OYXVThAnSXID9', 'duration_ms': 189947, 'time_signature': 4}"
1,1968-01-31,EVERLASTING LOVE,LOVE AFFAIR,2,spotify:track:40XXjm2pU6LGZkLq5VmkaQ,"{'danceability': 0.497, 'energy': 0.569, 'key': 9, 'loudness': -10.632, 'mode': 1, 'speechiness': 0.0386, 'acousticness': 0.266, 'instrumentalness': 0, 'liveness': 0.336, 'valence': 0.811, 'tempo': 120.531, 'type': 'audio_features', 'id': '40XXjm2pU6LGZkLq5VmkaQ', 'uri': 'spotify:track:40XXjm2pU6LGZkLq5VmkaQ', 'track_href': 'https://api.spotify.com/v1/tracks/40XXjm2pU6LGZkLq5VmkaQ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/40XXjm2pU6LGZkLq5VmkaQ', 'duration_ms': 182667, 'time_signature': 4}"
2,1968-02-14,MIGHTY QUINN,MANFRED MANN,2,spotify:track:0cWPr2PvYTQERq88b4jGXw,"{'danceability': 0.599, 'energy': 0.702, 'key': 11, 'loudness': -6.994, 'mode': 1, 'speechiness': 0.0452, 'acousticness': 0.456, 'instrumentalness': 0, 'liveness': 0.193, 'valence': 0.897, 'tempo': 92.847, 'type': 'audio_features', 'id': '0cWPr2PvYTQERq88b4jGXw', 'uri': 'spotify:track:0cWPr2PvYTQERq88b4jGXw', 'track_href': 'https://api.spotify.com/v1/tracks/0cWPr2PvYTQERq88b4jGXw', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0cWPr2PvYTQERq88b4jGXw', 'duration_ms': 173773, 'time_signature': 4}"
3,1968-02-28,CINDERELLA ROCKEFELLA,ESTHER & ABI OFARIM,3,spotify:track:6iw86hVTzte5uUIsTu7iwi,"{'danceability': 0.754, 'energy': 0.545, 'key': 1, 'loudness': -8.95, 'mode': 1, 'speechiness': 0.0339, 'acousticness': 0.793, 'instrumentalness': 1.83e-05, 'liveness': 0.324, 'valence': 0.749, 'tempo': 136.891, 'type': 'audio_features', 'id': '6iw86hVTzte5uUIsTu7iwi', 'uri': 'spotify:track:6iw86hVTzte5uUIsTu7iwi', 'track_href': 'https://api.spotify.com/v1/tracks/6iw86hVTzte5uUIsTu7iwi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6iw86hVTzte5uUIsTu7iwi', 'duration_ms': 143386, 'time_signature': 4}"
4,1968-03-20,THE LEGEND OF XANADU,"DAVE DEE, DOZY, BEAKY, MICK & TICH",1,spotify:track:4DYp1pEg6ebDJkChzvxjOi,"{'danceability': 0.403, 'energy': 0.902, 'key': 9, 'loudness': -4.828, 'mode': 1, 'speechiness': 0.0498, 'acousticness': 0.0121, 'instrumentalness': 0.00857, 'liveness': 0.0975, 'valence': 0.691, 'tempo': 76.706, 'type': 'audio_features', 'id': '4DYp1pEg6ebDJkChzvxjOi', 'uri': 'spotify:track:4DYp1pEg6ebDJkChzvxjOi', 'track_href': 'https://api.spotify.com/v1/tracks/4DYp1pEg6ebDJkChzvxjOi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4DYp1pEg6ebDJkChzvxjOi', 'duration_ms': 216373, 'time_signature': 4}"
5,1968-03-27,LADY MADONNA,BEATLES,2,spotify:track:1raiIrqaqRAqZmQWZlLuBd,"{'danceability': 0.65, 'energy': 0.777, 'key': 2, 'loudness': -4.984, 'mode': 1, 'speechiness': 0.0294, 'acousticness': 0.141, 'instrumentalness': 0.343, 'liveness': 0.215, 'valence': 0.574, 'tempo': 109.608, 'type': 'audio_features', 'id': '1raiIrqaqRAqZmQWZlLuBd', 'uri': 'spotify:track:1raiIrqaqRAqZmQWZlLuBd', 'track_href': 'https://api.spotify.com/v1/tracks/1raiIrqaqRAqZmQWZlLuBd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1raiIrqaqRAqZmQWZlLuBd', 'duration_ms': 136827, 'time_signature': 4}"
6,1968-10-04,CONGRATULATIONS,CLIFF RICHARD,2,spotify:track:1ZfbMOw5VSh5Qqr8hgLCkJ,"{'danceability': 0.478, 'energy': 0.681, 'key': 4, 'loudness': -5.2, 'mode': 1, 'speechiness': 0.0291, 'acousticness': 0.133, 'instrumentalness': 0, 'liveness': 0.0748, 'valence': 0.962, 'tempo': 92.898, 'type': 'audio_features', 'id': '1ZfbMOw5VSh5Qqr8hgLCkJ', 'uri': 'spotify:track:1ZfbMOw5VSh5Qqr8hgLCkJ', 'track_href': 'https://api.spotify.com/v1/tracks/1ZfbMOw5VSh5Qqr8hgLCkJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1ZfbMOw5VSh5Qqr8hgLCkJ', 'duration_ms': 151800, 'time_signature': 4}"
7,1968-04-24,WHAT A WONDERFUL WORLD/CABARET,LOUIS ARMSTRONG,4,,{}
8,1968-05-22,YOUNG GIRL,UNION GAP FEATURING GARY PUCKETT,4,spotify:track:7eErg4xYy85zjy10xsZop6,"{'danceability': 0.432, 'energy': 0.283, 'key': 9, 'loudness': -11.466, 'mode': 1, 'speechiness': 0.0287, 'acousticness': 0.802, 'instrumentalness': 4.04e-05, 'liveness': 0.306, 'valence': 0.472, 'tempo': 92.204, 'type': 'audio_features', 'id': '7eErg4xYy85zjy10xsZop6', 'uri': 'spotify:track:7eErg4xYy85zjy10xsZop6', 'track_href': 'https://api.spotify.com/v1/tracks/7eErg4xYy85zjy10xsZop6', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7eErg4xYy85zjy10xsZop6', 'duration_ms': 252147, 'time_signature': 4}"
9,1968-06-19,JUMPIN' JACK FLASH,ROLLING STONES,2,spotify:track:2VX233NmBPjXAYtxlmSPRV,"{'danceability': 0.572, 'energy': 0.909, 'key': 3, 'loudness': -8.063, 'mode': 1, 'speechiness': 0.0583, 'acousticness': 0.045, 'instrumentalness': 0.177, 'liveness': 0.0785, 'valence': 0.635, 'tempo': 137.332, 'type': 'audio_features', 'id': '2VX233NmBPjXAYtxlmSPRV', 'uri': 'spotify:track:2VX233NmBPjXAYtxlmSPRV', 'track_href': 'https://api.spotify.com/v1/tracks/2VX233NmBPjXAYtxlmSPRV', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2VX233NmBPjXAYtxlmSPRV', 'duration_ms': 222280, 'time_signature': 4}"
10,1968-03-07,BABY COME BACK,EQUALS,3,spotify:track:5xVP9mLd87Udhe8DzlZbjE,"{'danceability': 0.692, 'energy': 0.708, 'key': 11, 'loudness': -9.212, 'mode': 1, 'speechiness': 0.0306, 'acousticness': 0.000708, 'instrumentalness': 8.89e-05, 'liveness': 0.245, 'valence': 0.96, 'tempo': 126.086, 'type': 'audio_features', 'id': '5xVP9mLd87Udhe8DzlZbjE', 'uri': 'spotify:track:5xVP9mLd87Udhe8DzlZbjE', 'track_href': 'https://api.spotify.com/v1/tracks/5xVP9mLd87Udhe8DzlZbjE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5xVP9mLd87Udhe8DzlZbjE', 'duration_ms': 163493, 'time_signature': 4}"
11,1968-07-24,I PRETEND,DES O'CONNOR,1,spotify:track:5C2z1ARiJWhlC3Ey2upYQW,"{'danceability': 0.258, 'energy': 0.359, 'key': 5, 'loudness': -11.739, 'mode': 1, 'speechiness': 0.0353, 'acousticness': 0.8, 'instrumentalness': 0.0013, 'liveness': 0.125, 'valence': 0.456, 'tempo': 168.606, 'type': 'audio_features', 'id': '5C2z1ARiJWhlC3Ey2upYQW', 'uri': 'spotify:track:5C2z1ARiJWhlC3Ey2upYQW', 'track_href': 'https://api.spotify.com/v1/tracks/5C2z1ARiJWhlC3Ey2upYQW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5C2z1ARiJWhlC3Ey2upYQW', 'duration_ms': 168533, 'time_signature': 3}"
12,1968-07-31,MONY MONY,TOMMY JAMES & THE SHONDELLS,2,spotify:track:23xk9Rf7oIHVUU1JvmXYFn,"{'danceability': 0.592, 'energy': 0.834, 'key': 2, 'loudness': -11.565, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.322, 'instrumentalness': 0, 'liveness': 0.364, 'valence': 0.809, 'tempo': 130.967, 'type': 'audio_features', 'id': '23xk9Rf7oIHVUU1JvmXYFn', 'uri': 'spotify:track:23xk9Rf7oIHVUU1JvmXYFn', 'track_href': 'https://api.spotify.com/v1/tracks/23xk9Rf7oIHVUU1JvmXYFn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/23xk9Rf7oIHVUU1JvmXYFn', 'duration_ms': 174133, 'time_signature': 4}"
13,1968-08-14,FIRE,CRAZY WORLD OF ARTHUR BROWN,1,spotify:track:44Y5Yh5OSciJB6ODlAhlHo,"{'danceability': 0.435, 'energy': 0.912, 'key': 5, 'loudness': -6.895, 'mode': 0, 'speechiness': 0.0965, 'acousticness': 0.554, 'instrumentalness': 0.547, 'liveness': 0.773, 'valence': 0.321, 'tempo': 138.566, 'type': 'audio_features', 'id': '44Y5Yh5OSciJB6ODlAhlHo', 'uri': 'spotify:track:44Y5Yh5OSciJB6ODlAhlHo', 'track_href': 'https://api.spotify.com/v1/tracks/44Y5Yh5OSciJB6ODlAhlHo', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/44Y5Yh5OSciJB6ODlAhlHo', 'duration_ms': 175893, 'time_signature': 4}"
14,1968-08-21,MONY MONY,TOMMY JAMES & THE SHONDELLS,1,spotify:track:23xk9Rf7oIHVUU1JvmXYFn,"{'danceability': 0.592, 'energy': 0.834, 'key': 2, 'loudness': -11.565, 'mode': 1, 'speechiness': 0.0334, 'acousticness': 0.322, 'instrumentalness': 0, 'liveness': 0.364, 'valence': 0.809, 'tempo': 130.967, 'type': 'audio_features', 'id': '23xk9Rf7oIHVUU1JvmXYFn', 'uri': 'spotify:track:23xk9Rf7oIHVUU1JvmXYFn', 'track_href': 'https://api.spotify.com/v1/tracks/23xk9Rf7oIHVUU1JvmXYFn', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/23xk9Rf7oIHVUU1JvmXYFn', 'duration_ms': 174133, 'time_signature': 4}"
15,1968-08-28,DO IT AGAIN,BEACH BOYS,1,spotify:track:0vhCcrN8ULryq1KuEEYlm2,"{'danceability': 0.725, 'energy': 0.577, 'key': 3, 'loudness': -6.487, 'mode': 1, 'speechiness': 0.0336, 'acousticness': 0.609, 'instrumentalness': 0.00112, 'liveness': 0.242, 'valence': 0.826, 'tempo': 117.691, 'type': 'audio_features', 'id': '0vhCcrN8ULryq1KuEEYlm2', 'uri': 'spotify:track:0vhCcrN8ULryq1KuEEYlm2', 'track_href': 'https://api.spotify.com/v1/tracks/0vhCcrN8ULryq1KuEEYlm2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0vhCcrN8ULryq1KuEEYlm2', 'duration_ms': 146373, 'time_signature': 4}"
16,1968-04-09,I'VE GOTTA GET A MESSAGE TO YOU,BEE GEES,1,spotify:track:4xCVHlmzEyIn1t4gXYsMaf,"{'danceability': 0.454, 'energy': 0.6, 'key': 0, 'loudness': -6.324, 'mode': 1, 'speechiness': 0.0267, 'acousticness': 0.0368, 'instrumentalness': 3.74e-06, 'liveness': 0.23, 'valence': 0.478, 'tempo': 83.364, 'type': 'audio_features', 'id': '4xCVHlmzEyIn1t4gXYsMaf', 'uri': 'spotify:track:4xCVHlmzEyIn1t4gXYsMaf', 'track_href': 'https://api.spotify.com/v1/tracks/4xCVHlmzEyIn1t4gXYsMaf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4xCVHlmzEyIn1t4gXYsMaf', 'duration_ms': 177440, 'time_signature': 4}"
17,1968-11-09,HEY JUDE,BEATLES,2,spotify:track:0aym2LBJBk9DAYuHHutrIl,"{'danceability': 0.386, 'energy': 0.607, 'key': 10, 'loudness': -7.7, 'mode': 1, 'speechiness': 0.0261, 'acousticness': 0.0112, 'instrumentalness': 1.38e-05, 'liveness': 0.088, 'valence': 0.532, 'tempo': 147.207, 'type': 'audio_features', 'id': '0aym2LBJBk9DAYuHHutrIl', 'uri': 'spotify:track:0aym2LBJBk9DAYuHHutrIl', 'track_href': 'https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl', 'duration_ms': 425653, 'time_signature': 4}"
